name,free-women,free-children,free-places,date
Frauenhaus Rodgau,0,0,Keine freien Plätze,2020-11-08
Frauenhaus Hanau,0,0,Keine freien Plätze,2020-11-08
Frauenhaus Wächtersbach,0,0,Keine freien Plätze,2020-11-08
Frauenhaus Darmstadt,0,0,Keine freien Plätze,2020-11-08
Frauenhaus Groß-Gerau,0,0,Keine freien Plätze,2020-11-08
Frauenhaus Bergstraße,0,0,Keine freien Plätze,2020-11-08
Frauenhaus Erbach,0,0,Keine freien Plätze,2020-11-08
Frauenhaus Landkreis Darmstadt-Dieburg,0,0,Keine freien Plätze,2020-11-08
Haus für Frauen in Not  Wiesbaden,0,0,Keine freien Plätze,2020-11-08
AWO Frauenhaus Nurdan-Eker,0,0,Keine freien Plätze,2020-11-08
Haus für Frauen in Not Bad Schwalbach,0,0,Keine freien Plätze,2020-11-08
Frauenhaus Limburg,0,0,Keine freien Plätze,2020-11-08
Frauenhaus Hofheim,0,0,Keine freien Plätze,2020-11-08
Autonomes Frauenhaus Kassel e.V.,0,0,Keine freien Plätze,2020-11-09
Frauenhaus im Landkreis Kassel,0,0,Keine freien Plätze,2020-11-09
Frauenhaus Bad Wildungen,0,0,Keine freien Plätze,2020-11-09
AWO Frauenhaus Schwalm-Eder,0,0,Keine freien Plätze,2020-11-09
Frauenhaus Marburg,0,0,Keine freien Plätze,2020-11-09
Autonomes Frauenhaus Gießen,0,0,Keine freien Plätze,2020-11-09
Frauenhaus Gießen SkF,0,0,Keine freien Plätze,2020-11-09
Frauenhaus Wetzlar,0,0,Keine freien Plätze,2020-11-09
Frauenhaus Fulda,0,0,Keine freien Plätze,2020-11-09
Frauenhaus Bad Hersfeld,0,0,Keine freien Plätze,2020-11-09
Frauenhaus Eschwege,0,0,Keine freien Plätze,2020-11-09
Frauenhaus Frankfurter Verein I Haus für Frauen und Kinder,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-09
Autonomes Frauenhaus Frankfurt,0,0,Keine freien Plätze,2020-11-09
Frauenhaus Frankfurter Verein I die kanne,0,0,Keine freien Plätze,2020-11-09
Frauenhaus Wetterau,0,0,Keine freien Plätze,2020-11-09
Frauenhaus „Lotte Lemke“,0,0,Keine freien Plätze,2020-11-09
Frauenhaus Oberursel,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-09
Frauen und Kinderhaus Offenbach,0,0,Keine freien Plätze,2020-11-09
